"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"refurl";"badawczedisplay";"Q1";"Q2";"Q3";"Q4[SQ001]";"Q5[SQ001]";"Q5[SQ002]";"G";"Y"
"1";"";"6";"pl";"10751017";"2018-10-12 10:23:42";"2018-10-12 10:55:50";"193.0.108.42";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"";"A2";"A4";"91";"99";"";""
"2";"";"4";"pl";"1038795668";"2018-10-12 10:25:20";"2018-10-12 10:37:53";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A6";"A2";"";"";"";"";""
"3";"2018-10-12 11:04:52";"7";"pl";"1321671214";"2018-10-12 10:25:29";"2018-10-12 11:04:52";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A1";"";"A2";"A6";"13";"78";"F";"1996"
"4";"";"5";"pl";"391307531";"2018-10-12 10:25:35";"2018-10-12 10:40:29";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A3";"A1";"A2";"A4";"";"0";"";""
"5";"";"5";"pl";"1384508312";"2018-10-12 10:38:47";"2018-10-12 10:49:48";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"A6";"";"";"";""
"6";"";"6";"pl";"1529150317";"2018-10-12 10:39:20";"2018-10-12 10:57:05";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"A4";"81";"100";"F";"66666"
"7";"";"6";"pl";"2082528592";"2018-10-12 10:39:24";"2018-10-12 10:55:50";"193.0.108.43";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"A4";"A2";"A3";"66";"74";"";""
"8";"2018-10-12 10:51:24";"4";"pl";"1084666654";"2018-10-12 10:39:28";"2018-10-12 10:51:24";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"";"";"";"";""
"9";"";"4";"pl";"1748605550";"2018-10-12 10:39:33";"2018-10-12 10:39:50";"193.0.108.44";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"";"";"";"";""
"10";"";"6";"pl";"1421328550";"2018-10-12 10:49:43";"2018-10-12 10:55:41";"193.0.101.210";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A3";"A4";"A2";"A3";"60";"44";"";""
"11";"";"6";"pl";"1103465172";"2018-10-12 10:51:33";"2018-10-12 10:55:48";"193.0.101.210";"";"";"";"";"A1";"A5";"100";"100";"";""
"12";"2018-10-13 09:49:41";"7";"pl";"989833337";"2018-10-13 09:45:00";"2018-10-13 09:49:41";"193.0.116.20";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A2";"A6";"92";"90";"";"1987"
"13";"";"4";"pl";"403696771";"2018-10-13 10:09:36";"2018-10-13 10:09:46";"193.0.116.20";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"";"";"";"";""
"14";"";"4";"pl";"2111311958";"2018-10-13 10:13:56";"2018-10-13 10:14:03";"193.0.116.20";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A1";"";"";"";"";""
"15";"2018-10-14 11:26:58";"7";"pl";"2007507157";"2018-10-14 10:56:35";"2018-10-14 11:26:58";"89.67.155.193";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A1";"A3";"A2";"A7";"18";"9";"F";"2000"
"16";"2018-10-15 20:12:16";"7";"pl";"643744440";"2018-10-15 19:52:49";"2018-10-15 20:12:16";"178.36.62.211";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"A8";"A2";"A7";"27";"36";"M";"1900"
"17";"";"2";"pl";"230280018";"2018-10-15 20:12:21";"2018-10-15 21:17:06";"178.36.62.211";"http://kognilab.pl/ls3/index.php/537838";"";"A2";"A3";"A2";"A3";"35";"44";"M";""
"18";"";"1";"pl";"2073381611";"2018-10-16 08:49:46";"2018-10-16 08:49:49";"194.126.232.37";"http://kognilab.pl/ls3/index.php/admin/questiongroups/sa/view/surveyid/537838/gid/28";"";"";"";"";"";"";"";"";""
"19";"";"3";"pl";"123111707";"2018-10-16 11:55:40";"2018-10-16 11:55:49";"178.36.62.211";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A6";"";"";"";"";"";""
"20";"";"5";"pl";"802764390";"2018-10-16 19:59:25";"2018-10-16 20:10:59";"89.64.26.49";"http://kognilab.pl/ls3/index.php/admin/questiongroups/sa/view/surveyid/537838/gid/28";"";"";"";"A2";"A1";"";"";"";""
"21";"2018-10-18 13:59:16";"7";"pl";"956646552";"2018-10-18 13:57:05";"2018-10-18 13:59:16";"84.10.170.181";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A2";"A6";"51";"8";"";""
"22";"2018-10-18 15:05:15";"7";"pl";"1600366956";"2018-10-18 15:02:41";"2018-10-18 15:05:15";"31.179.106.251";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"A8";"A2";"A1";"7";"1";"";"2018"
"23";"";"6";"pl";"344044601";"2018-10-18 17:16:15";"2018-10-18 17:16:35";"37.47.30.211";"http://kognilab.pl/ls3/index.php/admin/questiongroups/sa/view/surveyid/537838/gid/24";"";"";"";"A2";"A5";"";"";"";""
"24";"";"1";"pl";"804487092";"2018-10-18 17:35:36";"2018-10-18 17:35:40";"5.173.168.228";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"";"";"";"";"";""
"25";"";"1";"pl";"1969056999";"2018-10-18 18:07:44";"2018-10-18 18:07:46";"89.67.155.193";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"";"";"";"";"";""
"26";"";"4";"pl";"1058615571";"2018-10-18 18:18:46";"2018-10-18 18:18:55";"31.179.106.251";"http://kognilab.pl/ls3/index.php/admin/questions/sa/view/surveyid/537838/gid/29/qid/59";"";"";"A4";"A1";"";"";"";"";""
"27";"";"5";"pl";"1179984467";"2018-10-20 22:26:41";"2018-10-20 22:27:03";"178.36.28.150";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A7";"A2";"A5";"";"";"";""
"28";"";"4";"pl";"452657284";"2018-10-23 16:20:57";"2018-10-23 16:21:08";"89.67.155.193";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A3";"A1";"A2";"";"";"";"";""
"29";"";"6";"pl";"208535210";"2018-10-24 16:51:41";"2018-10-24 16:57:07";"89.67.155.193";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A2";"A1";"A2";"42";"6";"";""
"30";"";"6";"pl";"971432881";"2019-01-17 20:17:41";"2019-01-17 20:18:34";"89.64.21.73";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"";"";"A2";"A5";"26";"100";"";""
"31";"2019-01-18 12:01:47";"7";"pl";"841501312";"2019-01-18 11:57:22";"2019-01-18 12:01:47";"5.173.57.61";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A2";"A1";"A7";"86";"82";"";""
"32";"2019-01-24 07:56:29";"7";"pl";"125403389";"2019-01-24 07:54:30";"2019-01-24 07:56:29";"212.87.20.71";"http://kognilab.pl/ls3/index.php/admin/survey/sa/view/surveyid/537838";"";"A2";"A3";"A1";"A7";"100";"50";"";""

