,participant,condition,item,response
0,1,short,trial_n1,3
1,1,long,trial_n2,7
2,1,short,trial_n3,4
3,1,long,trial_n4,5
4,1,short,trial_n5,3
5,1,long,trial_n6,2
6,1,short,trial_n7,5
7,1,long,trial_n8,4
8,1,short,trial_n9,5
9,1,long,trial_n10,3
10,1,short,trial_n11,5
11,1,long,trial_n12,6
12,1,short,trial_n13,2
13,1,long,trial_n14,6
14,1,short,trial_n15,2
15,1,long,trial_n16,3
16,1,short,trial_n17,2
17,1,long,trial_n18,2
18,1,short,trial_n19,3
19,1,long,trial_n20,2
0,2,short,trial_n1,4
1,2,long,trial_n2,3
2,2,short,trial_n3,0
3,2,long,trial_n4,7
4,2,short,trial_n5,5
5,2,long,trial_n6,3
6,2,short,trial_n7,2
7,2,long,trial_n8,4
8,2,short,trial_n9,2
9,2,long,trial_n10,5
10,2,short,trial_n11,2
11,2,long,trial_n12,5
12,2,short,trial_n13,2
13,2,long,trial_n14,3
14,2,short,trial_n15,5
15,2,long,trial_n16,3
16,2,short,trial_n17,5
17,2,long,trial_n18,4
18,2,short,trial_n19,5
19,2,long,trial_n20,5
0,3,short,trial_n1,5
1,3,long,trial_n2,2
2,3,short,trial_n3,5
3,3,long,trial_n4,4
4,3,short,trial_n5,4
5,3,long,trial_n6,2
6,3,short,trial_n7,3
7,3,long,trial_n8,2
8,3,short,trial_n9,4
9,3,long,trial_n10,4
10,3,short,trial_n11,4
11,3,long,trial_n12,3
12,3,short,trial_n13,4
13,3,long,trial_n14,1
14,3,short,trial_n15,1
15,3,long,trial_n16,5
16,3,short,trial_n17,5
17,3,long,trial_n18,5
18,3,short,trial_n19,2
19,3,long,trial_n20,1
0,4,short,trial_n1,5
1,4,long,trial_n2,5
2,4,short,trial_n3,3
3,4,long,trial_n4,4
4,4,short,trial_n5,4
5,4,long,trial_n6,4
6,4,short,trial_n7,3
7,4,long,trial_n8,2
8,4,short,trial_n9,2
9,4,long,trial_n10,6
10,4,short,trial_n11,4
11,4,long,trial_n12,3
12,4,short,trial_n13,5
13,4,long,trial_n14,4
14,4,short,trial_n15,4
15,4,long,trial_n16,2
16,4,short,trial_n17,4
17,4,long,trial_n18,3
18,4,short,trial_n19,4
19,4,long,trial_n20,3
0,5,short,trial_n1,1
1,5,long,trial_n2,4
2,5,short,trial_n3,4
3,5,long,trial_n4,4
4,5,short,trial_n5,5
5,5,long,trial_n6,2
6,5,short,trial_n7,2
7,5,long,trial_n8,3
8,5,short,trial_n9,2
9,5,long,trial_n10,4
10,5,short,trial_n11,2
11,5,long,trial_n12,3
12,5,short,trial_n13,6
13,5,long,trial_n14,7
14,5,short,trial_n15,5
15,5,long,trial_n16,2
16,5,short,trial_n17,1
17,5,long,trial_n18,2
18,5,short,trial_n19,5
19,5,long,trial_n20,3
0,6,short,trial_n1,4
1,6,long,trial_n2,5
2,6,short,trial_n3,5
3,6,long,trial_n4,3
4,6,short,trial_n5,3
5,6,long,trial_n6,2
6,6,short,trial_n7,3
7,6,long,trial_n8,4
8,6,short,trial_n9,5
9,6,long,trial_n10,6
10,6,short,trial_n11,6
11,6,long,trial_n12,4
12,6,short,trial_n13,5
13,6,long,trial_n14,4
14,6,short,trial_n15,2
15,6,long,trial_n16,1
16,6,short,trial_n17,4
17,6,long,trial_n18,4
18,6,short,trial_n19,2
19,6,long,trial_n20,2
0,7,short,trial_n1,3
1,7,long,trial_n2,7
2,7,short,trial_n3,3
3,7,long,trial_n4,4
4,7,short,trial_n5,2
5,7,long,trial_n6,4
6,7,short,trial_n7,4
7,7,long,trial_n8,5
8,7,short,trial_n9,3
9,7,long,trial_n10,8
10,7,short,trial_n11,5
11,7,long,trial_n12,4
12,7,short,trial_n13,3
13,7,long,trial_n14,3
14,7,short,trial_n15,3
15,7,long,trial_n16,4
16,7,short,trial_n17,6
17,7,long,trial_n18,5
18,7,short,trial_n19,2
19,7,long,trial_n20,3
0,8,short,trial_n1,6
1,8,long,trial_n2,6
2,8,short,trial_n3,6
3,8,long,trial_n4,4
4,8,short,trial_n5,6
5,8,long,trial_n6,4
6,8,short,trial_n7,5
7,8,long,trial_n8,4
8,8,short,trial_n9,4
9,8,long,trial_n10,3
10,8,short,trial_n11,6
11,8,long,trial_n12,4
12,8,short,trial_n13,1
13,8,long,trial_n14,4
14,8,short,trial_n15,3
15,8,long,trial_n16,2
16,8,short,trial_n17,4
17,8,long,trial_n18,4
18,8,short,trial_n19,5
19,8,long,trial_n20,4
