,participant,condition,item,response
0,1,experimental,target1,3
1,1,experimental,target2,1
2,1,experimental,target3,5
3,1,experimental,target4,6
4,1,experimental,target5,6
5,1,experimental,target6,5
6,1,experimental,target7,4
7,1,experimental,target8,4
8,1,experimental,target9,3
9,1,experimental,target10,1
10,1,experimental,filler1,3
11,1,experimental,filler2,5
12,1,experimental,filler3,3
13,1,experimental,filler4,3
14,1,experimental,filler5,7
15,1,experimental,filler6,6
16,1,experimental,filler7,6
17,1,experimental,filler8,4
18,1,experimental,filler9,4
19,1,experimental,filler10,6
0,2,experimental,filler5,5
1,2,experimental,filler10,4
2,2,experimental,target5,4
3,2,experimental,filler2,3
4,2,experimental,target6,3
5,2,experimental,filler7,5
6,2,experimental,filler6,4
7,2,experimental,target9,3
8,2,experimental,target7,2
9,2,experimental,target2,3
10,2,experimental,filler1,4
11,2,experimental,target3,4
12,2,experimental,target4,1
13,2,experimental,filler8,6
14,2,experimental,filler4,8
15,2,experimental,target10,5
16,2,experimental,target8,3
17,2,experimental,filler3,1
18,2,experimental,target1,3
19,2,experimental,filler9,6
0,3,experimental,filler6,0
1,3,experimental,target7,3
2,3,experimental,target3,4
3,3,experimental,filler4,1
4,3,experimental,filler8,5
5,3,experimental,target6,6
6,3,experimental,target9,3
7,3,experimental,filler5,3
8,3,experimental,target2,4
9,3,experimental,target1,6
10,3,experimental,target10,5
11,3,experimental,filler10,4
12,3,experimental,target8,4
13,3,experimental,target5,2
14,3,experimental,filler2,4
15,3,experimental,filler3,4
16,3,experimental,filler1,2
17,3,experimental,target4,3
18,3,experimental,filler9,3
19,3,experimental,filler7,4
0,4,experimental,filler5,4
1,4,experimental,filler7,2
2,4,experimental,target1,2
3,4,experimental,target2,4
4,4,experimental,filler3,4
5,4,experimental,filler2,3
6,4,experimental,target10,3
7,4,experimental,target5,5
8,4,experimental,filler4,3
9,4,experimental,filler6,5
10,4,experimental,target6,3
11,4,experimental,filler10,2
12,4,experimental,filler8,6
13,4,experimental,target8,3
14,4,experimental,target9,5
15,4,experimental,target3,4
16,4,experimental,target7,3
17,4,experimental,target4,3
18,4,experimental,filler1,5
19,4,experimental,filler9,3
0,5,experimental,target8,1
1,5,experimental,filler10,2
2,5,experimental,target10,2
3,5,experimental,target9,4
4,5,experimental,target3,4
5,5,experimental,target1,7
6,5,experimental,filler7,3
7,5,experimental,target4,2
8,5,experimental,filler1,2
9,5,experimental,filler2,3
10,5,experimental,target7,3
11,5,experimental,target6,4
12,5,experimental,filler3,4
13,5,experimental,filler5,2
14,5,experimental,filler8,7
15,5,experimental,filler9,5
16,5,experimental,target2,3
17,5,experimental,filler4,5
18,5,experimental,filler6,5
19,5,experimental,target5,5
0,6,experimental,filler5,3
1,6,experimental,target7,6
2,6,experimental,target3,4
3,6,experimental,filler3,6
4,6,experimental,target9,3
5,6,experimental,filler9,4
6,6,experimental,filler7,2
7,6,experimental,target2,4
8,6,experimental,filler4,4
9,6,experimental,target5,3
10,6,experimental,target6,5
11,6,experimental,target10,2
12,6,experimental,filler2,3
13,6,experimental,target1,5
14,6,experimental,filler8,3
15,6,experimental,filler10,4
16,6,experimental,filler1,2
17,6,experimental,filler6,4
18,6,experimental,target8,2
19,6,experimental,target4,4
0,7,experimental,filler1,4
1,7,experimental,filler9,6
2,7,experimental,filler5,2
3,7,experimental,filler2,3
4,7,experimental,filler4,2
5,7,experimental,filler8,4
6,7,experimental,target2,3
7,7,experimental,target6,3
8,7,experimental,filler6,4
9,7,experimental,target3,4
10,7,experimental,filler10,3
11,7,experimental,target8,3
12,7,experimental,target10,6
13,7,experimental,target7,4
14,7,experimental,target1,6
15,7,experimental,target9,5
16,7,experimental,target4,1
17,7,experimental,target5,5
18,7,experimental,filler7,3
19,7,experimental,filler3,5
0,8,experimental,filler1,3
1,8,experimental,target8,4
2,8,experimental,target2,2
3,8,experimental,target1,4
4,8,experimental,target6,7
5,8,experimental,filler10,4
6,8,experimental,filler5,3
7,8,experimental,target5,5
8,8,experimental,target9,7
9,8,experimental,filler7,3
10,8,experimental,filler2,5
11,8,experimental,target4,2
12,8,experimental,target7,4
13,8,experimental,filler4,3
14,8,experimental,filler3,4
15,8,experimental,filler6,5
16,8,experimental,filler8,6
17,8,experimental,target3,2
18,8,experimental,filler9,5
19,8,experimental,target10,5
0,9,experimental,target1,2
1,9,experimental,target6,4
2,9,experimental,filler1,5
3,9,experimental,target2,6
4,9,experimental,filler5,4
5,9,experimental,target3,7
6,9,experimental,filler3,2
7,9,experimental,target8,2
8,9,experimental,filler6,4
9,9,experimental,filler10,3
10,9,experimental,target5,4
11,9,experimental,filler4,2
12,9,experimental,target7,8
13,9,experimental,target9,2
14,9,experimental,target10,5
15,9,experimental,filler2,3
16,9,experimental,filler7,3
17,9,experimental,filler9,2
18,9,experimental,target4,2
19,9,experimental,filler8,1
0,10,experimental,filler5,4
1,10,experimental,target2,3
2,10,experimental,filler2,5
3,10,experimental,filler7,2
4,10,experimental,filler3,4
5,10,experimental,filler1,5
6,10,experimental,target5,5
7,10,experimental,target1,4
8,10,experimental,filler8,3
9,10,experimental,target10,5
10,10,experimental,target3,5
11,10,experimental,target9,3
12,10,experimental,target6,3
13,10,experimental,filler6,4
14,10,experimental,filler10,3
15,10,experimental,target4,4
16,10,experimental,target7,6
17,10,experimental,target8,3
18,10,experimental,filler9,3
19,10,experimental,filler4,4
0,11,experimental,filler6,4
1,11,experimental,target10,2
2,11,experimental,target3,3
3,11,experimental,target7,4
4,11,experimental,filler9,4
5,11,experimental,target2,5
6,11,experimental,filler4,4
7,11,experimental,filler5,2
8,11,experimental,filler8,6
9,11,experimental,target4,2
10,11,experimental,filler10,2
11,11,experimental,filler3,3
12,11,experimental,target8,6
13,11,experimental,target1,1
14,11,experimental,filler1,2
15,11,experimental,target5,4
16,11,experimental,filler7,4
17,11,experimental,target6,4
18,11,experimental,target9,3
19,11,experimental,filler2,4
0,12,experimental,target9,4
1,12,experimental,filler7,4
2,12,experimental,filler5,6
3,12,experimental,target3,6
4,12,experimental,filler2,3
5,12,experimental,filler6,3
6,12,experimental,filler9,3
7,12,experimental,target5,2
8,12,experimental,filler3,2
9,12,experimental,target1,3
10,12,experimental,target6,4
11,12,experimental,target4,1
12,12,experimental,target7,4
13,12,experimental,filler10,2
14,12,experimental,target8,3
15,12,experimental,filler8,4
16,12,experimental,filler1,3
17,12,experimental,filler4,4
18,12,experimental,target10,3
19,12,experimental,target2,4
0,13,experimental,target10,6
1,13,experimental,filler8,6
2,13,experimental,target1,4
3,13,experimental,filler4,3
4,13,experimental,target8,4
5,13,experimental,target9,3
6,13,experimental,target2,3
7,13,experimental,filler5,0
8,13,experimental,filler9,3
9,13,experimental,target4,5
10,13,experimental,filler10,3
11,13,experimental,filler2,4
12,13,experimental,target5,5
