,participant,condition,rt,lang
0,1,congruent,445.8826461742476,pol
1,1,congruent,265.58388384029337,pol
2,1,incongruent,392.00783222924633,pol
3,1,congruent,349.9624483007136,pol
4,1,incongruent,188.8448535866723,pol
5,1,congruent,486.09708662751336,pol
6,1,congruent,117.06911726562917,pol
7,1,incongruent,410.1349119775304,pol
8,1,incongruent,534.9334410357083,pol
9,1,congruent,340.9634349998035,pol
10,1,incongruent,409.88398121065126,pol
11,1,congruent,456.4702660732736,pol
12,1,incongruent,483.05745578539586,pol
13,1,congruent,395.84645261261664,pol
14,1,congruent,500.5467864522897,pol
15,1,incongruent,348.4276083701369,pol
16,1,congruent,361.6030780453002,pol
17,1,incongruent,281.79115662813115,pol
18,1,congruent,357.4849889042628,pol
19,1,incongruent,827.5508913934843,pol
20,1,congruent,377.54562832251156,pol
21,1,congruent,400.70631061641444,pol
22,1,congruent,291.41888366052876,pol
23,1,congruent,185.53592178897958,pol
24,1,congruent,340.7300304460425,pol
25,1,congruent,216.9987180757513,pol
26,1,incongruent,510.3116543733529,pol
27,1,congruent,202.28560553170158,pol
28,1,incongruent,382.3130200533619,pol
29,1,congruent,253.6277297512201,pol
30,1,congruent,220.62069634819045,pol
31,1,congruent,233.4641204107568,pol
32,1,incongruent,410.6414429521445,pol
33,1,incongruent,503.827521425105,pol
34,1,incongruent,447.34150704748663,pol
35,1,congruent,370.4481142420479,pol
36,1,congruent,191.9377169053444,pol
37,1,incongruent,332.3382542571341,pol
38,1,congruent,539.5790808815361,pol
39,1,incongruent,512.9256879138475,pol
40,1,congruent,200.88299346053978,pol
41,1,congruent,353.5831086642221,pol
42,1,incongruent,407.56286578180277,pol
43,1,congruent,281.4103331026679,pol
44,1,incongruent,441.45049348890973,pol
45,1,congruent,279.3777005611778,pol
46,1,congruent,709.5636703374338,pol
47,1,incongruent,713.712896573968,pol
48,1,congruent,477.6416148207826,pol
49,1,congruent,288.7923985983586,pol
50,1,incongruent,284.8488758199444,pol
51,1,congruent,470.08081580457565,pol
52,1,incongruent,615.9022741940846,pol
53,1,incongruent,606.9044547805256,pol
54,1,incongruent,240.6436898736963,pol
55,1,incongruent,370.7527736188207,pol
56,1,congruent,228.13023238361856,pol
57,1,congruent,691.8511761929267,pol
58,1,congruent,205.5034745158501,pol
59,1,congruent,231.42577518787817,pol
60,1,incongruent,376.5760749142888,pol
61,1,incongruent,392.8966519450937,pol
62,1,incongruent,362.2152747372813,pol
63,1,incongruent,402.7696655149383,pol
64,1,incongruent,537.777525832462,pol
65,1,incongruent,184.8874100010205,pol
66,1,incongruent,1052.038412395455,pol
67,1,congruent,626.0230060238985,pol
68,1,incongruent,377.5171835323421,pol
69,1,incongruent,535.4767381840983,pol
70,1,incongruent,324.5171713497564,pol
71,1,congruent,328.01667118884524,pol
72,1,congruent,645.5351850541192,pol
73,1,incongruent,396.7940956000789,pol
74,1,incongruent,630.8035229886741,pol
75,1,incongruent,353.48316469588974,pol
76,1,incongruent,297.691695356151,pol
77,1,congruent,168.6954486186236,pol
78,1,congruent,219.27493527581973,pol
79,1,incongruent,359.86182394388106,pol
80,1,congruent,218.77844922654418,pol
81,1,incongruent,296.88519717364176,pol
82,1,congruent,240.32765586517158,pol
83,1,incongruent,307.84775689702684,pol
84,1,congruent,178.50886462643635,pol
85,1,incongruent,447.64754826766614,pol
86,1,congruent,260.9658431155258,pol
87,1,incongruent,587.456704747786,pol
88,1,incongruent,414.78353077432405,pol
89,1,congruent,185.42196967635763,pol
90,1,incongruent,335.9376056211703,pol
91,1,incongruent,277.8450251621232,pol
92,1,congruent,399.347602086961,pol
93,1,incongruent,478.08897211672024,pol
94,1,incongruent,553.8823699511975,pol
95,1,congruent,213.65674716623255,pol
96,1,congruent,212.38537687420418,pol
97,1,congruent,690.2937641246638,pol
98,1,incongruent,361.598952047384,pol
99,1,incongruent,220.54067393959096,pol
0,2,congruent,749.7785649887312,pol
1,2,incongruent,239.4035820050454,pol
2,2,congruent,258.81964878101314,pol
3,2,congruent,250.75670565642696,pol
4,2,incongruent,262.70937460862586,pol
5,2,incongruent,274.89644343910356,pol
6,2,congruent,490.17821369607145,pol
7,2,congruent,273.1199169515269,pol
8,2,congruent,213.29536152255653,pol
9,2,congruent,352.01526126669273,pol
10,2,incongruent,284.6973640603487,pol
11,2,congruent,379.02805776300585,pol
12,2,incongruent,486.13176455204393,pol
13,2,incongruent,297.3362163706674,pol
14,2,congruent,540.457040507149,pol
15,2,congruent,126.64666878436054,pol
16,2,congruent,375.6998841620447,pol
17,2,incongruent,278.0672446269894,pol
18,2,congruent,476.9093506636617,pol
19,2,incongruent,305.6394030338728,pol
20,2,congruent,301.1571469449184,pol
21,2,incongruent,343.37954998466694,pol
22,2,incongruent,647.9975365859917,pol
23,2,congruent,700.9235420096254,pol
24,2,incongruent,408.9686656474111,pol
25,2,congruent,249.03092312614987,pol
26,2,incongruent,342.7933508470549,pol
27,2,congruent,474.1709426375419,pol
28,2,incongruent,369.65401517697217,pol
29,2,incongruent,214.49530034687376,pol
30,2,incongruent,346.6603558611412,pol
31,2,incongruent,528.9312822866649,pol
32,2,incongruent,256.2161780794563,pol
33,2,incongruent,510.5302830129423,pol
34,2,congruent,296.0224650320522,pol
35,2,incongruent,412.889276009058,pol
36,2,congruent,240.86905630211265,pol
37,2,congruent,249.72662885018514,pol
38,2,incongruent,186.615225641591,pol
39,2,congruent,321.3729598785209,pol
40,2,congruent,370.5261143439417,pol
41,2,congruent,342.18034710437007,pol
42,2,congruent,381.9603373233207,pol
43,2,incongruent,304.2060311641133,pol
44,2,incongruent,272.190085093384,pol
45,2,incongruent,499.38601035223456,pol
46,2,congruent,303.08388639971736,pol
47,2,congruent,170.2723315914004,pol
48,2,congruent,503.6615127347122,pol
49,2,incongruent,442.77157756525,pol
50,2,incongruent,191.88042462777295,pol
51,2,incongruent,394.57596714087,pol
52,2,incongruent,428.9235642125829,pol
53,2,incongruent,196.34232474337782,pol
54,2,congruent,143.40680736596912,pol
55,2,congruent,266.30649516683764,pol
56,2,congruent,203.62593582942822,pol
57,2,incongruent,520.7331579638461,pol
58,2,congruent,271.78894619448835,pol
59,2,congruent,198.15861664486627,pol
60,2,congruent,732.3795979718681,pol
61,2,congruent,396.0648333912792,pol
62,2,incongruent,319.9834055801032,pol
63,2,incongruent,567.9825829442922,pol
64,2,congruent,468.6078863386888,pol
65,2,congruent,267.5080270658257,pol
66,2,incongruent,277.70285903103724,pol
67,2,congruent,624.6022345136381,pol
68,2,incongruent,327.7129099765823,pol
69,2,incongruent,490.45570608794714,pol
70,2,incongruent,358.19249571724555,pol
71,2,congruent,452.0111856079161,pol
72,2,congruent,261.58268923314364,pol
73,2,incongruent,267.4156214760457,pol
74,2,incongruent,252.5941134463933,pol
