,participant,condition,item,response
0,1,short,trial_n1,1
1,1,long,trial_n2,2
2,1,short,trial_n3,5
3,1,long,trial_n4,2
4,1,short,trial_n5,2
5,1,long,trial_n6,4
6,1,short,trial_n7,3
7,1,long,trial_n8,3
8,1,short,trial_n9,3
9,1,long,trial_n10,5
10,1,short,trial_n11,2
11,1,long,trial_n12,4
12,1,short,trial_n13,3
13,1,long,trial_n14,4
14,1,short,trial_n15,1
15,1,long,trial_n16,2
16,1,short,trial_n17,4
17,1,long,trial_n18,1
18,1,short,trial_n19,3
19,1,long,trial_n20,4
0,2,short,trial_n1,2
1,2,long,trial_n2,3
2,2,short,trial_n3,5
3,2,long,trial_n4,4
4,2,short,trial_n5,4
5,2,long,trial_n6,4
6,2,short,trial_n7,1
7,2,long,trial_n8,1
8,2,short,trial_n9,3
9,2,long,trial_n10,4
10,2,short,trial_n11,4
11,2,long,trial_n12,5
12,2,short,trial_n13,3
13,2,long,trial_n14,2
14,2,short,trial_n15,7
15,2,long,trial_n16,5
16,2,short,trial_n17,5
17,2,long,trial_n18,3
18,2,short,trial_n19,4
19,2,long,trial_n20,2
0,3,short,trial_n1,1
1,3,long,trial_n2,4
2,3,short,trial_n3,3
3,3,long,trial_n4,3
4,3,short,trial_n5,6
5,3,long,trial_n6,1
6,3,short,trial_n7,4
7,3,long,trial_n8,5
8,3,short,trial_n9,6
9,3,long,trial_n10,1
10,3,short,trial_n11,5
11,3,long,trial_n12,3
12,3,short,trial_n13,5
13,3,long,trial_n14,3
14,3,short,trial_n15,2
15,3,long,trial_n16,5
16,3,short,trial_n17,1
17,3,long,trial_n18,4
18,3,short,trial_n19,3
19,3,long,trial_n20,3
0,4,short,trial_n1,3
1,4,long,trial_n2,5
2,4,short,trial_n3,4
3,4,long,trial_n4,2
4,4,short,trial_n5,3
5,4,long,trial_n6,1
6,4,short,trial_n7,4
7,4,long,trial_n8,5
8,4,short,trial_n9,4
9,4,long,trial_n10,4
10,4,short,trial_n11,7
11,4,long,trial_n12,6
12,4,short,trial_n13,4
13,4,long,trial_n14,5
14,4,short,trial_n15,4
15,4,long,trial_n16,4
16,4,short,trial_n17,0
17,4,long,trial_n18,4
18,4,short,trial_n19,8
19,4,long,trial_n20,5
0,5,short,trial_n1,3
1,5,long,trial_n2,2
2,5,short,trial_n3,7
3,5,long,trial_n4,2
4,5,short,trial_n5,3
5,5,long,trial_n6,4
6,5,short,trial_n7,3
7,5,long,trial_n8,5
8,5,short,trial_n9,5
9,5,long,trial_n10,3
10,5,short,trial_n11,4
11,5,long,trial_n12,3
12,5,short,trial_n13,2
13,5,long,trial_n14,5
14,5,short,trial_n15,3
15,5,long,trial_n16,2
16,5,short,trial_n17,4
17,5,long,trial_n18,3
18,5,short,trial_n19,5
19,5,long,trial_n20,4
0,6,short,trial_n1,4
1,6,long,trial_n2,6
2,6,short,trial_n3,5
3,6,long,trial_n4,5
4,6,short,trial_n5,4
5,6,long,trial_n6,4
6,6,short,trial_n7,3
7,6,long,trial_n8,7
8,6,short,trial_n9,5
9,6,long,trial_n10,6
10,6,short,trial_n11,2
11,6,long,trial_n12,5
12,6,short,trial_n13,1
13,6,long,trial_n14,6
14,6,short,trial_n15,4
15,6,long,trial_n16,5
16,6,short,trial_n17,3
17,6,long,trial_n18,2
18,6,short,trial_n19,6
19,6,long,trial_n20,1
0,7,short,trial_n1,2
1,7,long,trial_n2,5
2,7,short,trial_n3,5
3,7,long,trial_n4,2
4,7,short,trial_n5,3
5,7,long,trial_n6,3
6,7,short,trial_n7,3
7,7,long,trial_n8,2
8,7,short,trial_n9,4
9,7,long,trial_n10,3
10,7,short,trial_n11,3
11,7,long,trial_n12,4
12,7,short,trial_n13,4
13,7,long,trial_n14,5
14,7,short,trial_n15,3
15,7,long,trial_n16,4
16,7,short,trial_n17,3
17,7,long,trial_n18,5
18,7,short,trial_n19,2
19,7,long,trial_n20,2
0,8,short,trial_n1,1
1,8,long,trial_n2,3
2,8,short,trial_n3,6
3,8,long,trial_n4,3
4,8,short,trial_n5,2
5,8,long,trial_n6,3
6,8,short,trial_n7,5
7,8,long,trial_n8,4
8,8,short,trial_n9,1
9,8,long,trial_n10,3
10,8,short,trial_n11,5
11,8,long,trial_n12,4
12,8,short,trial_n13,6
13,8,long,trial_n14,1
14,8,short,trial_n15,5
15,8,long,trial_n16,3
16,8,short,trial_n17,3
17,8,long,trial_n18,0
18,8,short,trial_n19,3
19,8,long,trial_n20,3
0,9,short,trial_n1,4
1,9,long,trial_n2,4
2,9,short,trial_n3,4
3,9,long,trial_n4,4
4,9,short,trial_n5,2
5,9,long,trial_n6,5
6,9,short,trial_n7,3
7,9,long,trial_n8,2
8,9,short,trial_n9,5
9,9,long,trial_n10,3
10,9,short,trial_n11,5
11,9,long,trial_n12,5
12,9,short,trial_n13,2
13,9,long,trial_n14,6
14,9,short,trial_n15,3
15,9,long,trial_n16,3
16,9,short,trial_n17,3
17,9,long,trial_n18,3
18,9,short,trial_n19,5
19,9,long,trial_n20,2
0,10,short,trial_n1,4
1,10,long,trial_n2,4
2,10,short,trial_n3,4
3,10,long,trial_n4,2
4,10,short,trial_n5,3
5,10,long,trial_n6,6
6,10,short,trial_n7,4
7,10,long,trial_n8,4
8,10,short,trial_n9,2
9,10,long,trial_n10,3
10,10,short,trial_n11,3
11,10,long,trial_n12,5
12,10,short,trial_n13,6
13,10,long,trial_n14,6
14,10,short,trial_n15,6
15,10,long,trial_n16,2
16,10,short,trial_n17,8
17,10,long,trial_n18,2
18,10,short,trial_n19,2
19,10,long,trial_n20,1
0,11,short,trial_n1,3
1,11,long,trial_n2,6
2,11,short,trial_n3,5
3,11,long,trial_n4,4
4,11,short,trial_n5,2
5,11,long,trial_n6,3
6,11,short,trial_n7,3
7,11,long,trial_n8,3
8,11,short,trial_n9,7
9,11,long,trial_n10,4
10,11,short,trial_n11,6
11,11,long,trial_n12,5
12,11,short,trial_n13,2
13,11,long,trial_n14,3
14,11,short,trial_n15,2
15,11,long,trial_n16,4
16,11,short,trial_n17,4
17,11,long,trial_n18,4
18,11,short,trial_n19,3
19,11,long,trial_n20,3
0,12,short,trial_n1,3
1,12,long,trial_n2,3
2,12,short,trial_n3,4
3,12,long,trial_n4,3
4,12,short,trial_n5,6
5,12,long,trial_n6,6
6,12,short,trial_n7,7
7,12,long,trial_n8,4
8,12,short,trial_n9,2
9,12,long,trial_n10,3
10,12,short,trial_n11,4
11,12,long,trial_n12,6
12,12,short,trial_n13,4
13,12,long,trial_n14,5
14,12,short,trial_n15,5
15,12,long,trial_n16,6
16,12,short,trial_n17,7
17,12,long,trial_n18,0
18,12,short,trial_n19,5
19,12,long,trial_n20,2
0,14,short,trial_n1,2
1,14,long,trial_n2,3
2,14,short,trial_n3,2
3,14,long,trial_n4,3
4,14,short,trial_n5,7
5,14,long,trial_n6,3
6,14,short,trial_n7,4
7,14,long,trial_n8,2
