participant,condition,rt,lang,sex
1,congruent,192.7897915545731,pol,K
1,incongruent,338.3846854098748,pol,K
1,congruent,129.85952872808804,pol,K
1,incongruent,321.1850855224448,pol,K
1,incongruent,485.13561370923526,pol,K
1,congruent,349.73802290018114,pol,K
1,incongruent,602.0225519216411,pol,K
1,congruent,535.1053616882982,pol,K
1,congruent,193.8909686415359,pol,K
1,incongruent,219.26357055747297,pol,K
1,congruent,317.5966973124418,pol,K
1,congruent,233.63507345447067,pol,K
1,incongruent,371.3199947778264,pol,K
1,incongruent,261.6506612453861,pol,K
1,congruent,613.13712338391,pol,K
1,congruent,183.31286168649726,pol,K
1,incongruent,461.17857906618764,pol,K
1,congruent,240.7029408344266,pol,K
1,incongruent,656.2941950678148,pol,K
1,incongruent,381.50215814402725,pol,K
1,incongruent,635.3213641287655,pol,K
1,congruent,246.75664739238766,pol,K
1,congruent,587.0132969133365,pol,K
1,incongruent,381.9318586412025,pol,K
1,incongruent,501.9640982594849,pol,K
1,incongruent,397.260343368883,pol,K
1,congruent,359.112697360806,pol,K
1,incongruent,332.0259869786513,pol,K
1,incongruent,498.78487263369607,pol,K
1,incongruent,557.3496168496677,pol,K
1,incongruent,214.44938733983048,pol,K
1,incongruent,404.32906353474095,pol,K
1,congruent,337.34562417060096,pol,K
1,congruent,387.9457241948894,pol,K
1,congruent,260.66615040060674,pol,K
1,congruent,390.5387018546812,pol,K
1,congruent,527.2792939894684,pol,K
1,incongruent,344.1681643589315,pol,K
1,congruent,438.67955654318007,pol,K
1,congruent,392.12635691126707,pol,K
1,incongruent,202.9766589488369,pol,K
1,congruent,302.11795446146704,pol,K
1,congruent,291.41351364844417,pol,K
1,incongruent,344.7244814373509,pol,K
1,incongruent,391.46718282354266,pol,K
1,incongruent,130.5353032559097,pol,K
1,congruent,295.22940648706236,pol,K
1,congruent,361.7809645482947,pol,K
1,congruent,252.5053382110408,pol,K
1,congruent,132.06560327671048,pol,K
1,congruent,174.9981524862112,pol,K
1,congruent,282.2809135667973,pol,K
1,congruent,462.98881759873984,pol,K
1,incongruent,545.5644014894967,pol,K
1,congruent,841.3140417119496,pol,K
1,incongruent,373.2367820291279,pol,K
1,incongruent,248.98534168847607,pol,K
1,congruent,298.1247363136139,pol,K
1,incongruent,444.3441106791448,pol,K
1,incongruent,510.88626700310556,pol,K
1,incongruent,497.565541269504,pol,K
1,congruent,620.3616317527426,pol,K
1,incongruent,474.5969838987668,pol,K
1,incongruent,295.6520959782238,pol,K
1,congruent,297.3644819267147,pol,K
1,congruent,462.1648391332112,pol,K
1,incongruent,390.1795998791897,pol,K
1,incongruent,294.38523879481454,pol,K
1,incongruent,359.98589514904626,pol,K
1,congruent,267.64426013284947,pol,K
1,congruent,186.41653994283448,pol,K
1,incongruent,395.306917740412,pol,K
1,congruent,436.3362763765381,pol,K
1,incongruent,430.9732407137347,pol,K
1,congruent,587.5866786217346,pol,K
1,congruent,414.5777784877504,pol,K
1,congruent,396.6710729896987,pol,K
1,congruent,404.03308239035584,pol,K
1,congruent,129.51484408835273,pol,K
1,incongruent,253.0010807313016,pol,K
1,congruent,402.7227284155765,pol,K
1,incongruent,650.9785403952015,pol,K
1,incongruent,560.4635888441006,pol,K
1,incongruent,200.95623493639206,pol,K
1,incongruent,638.0436022982865,pol,K
1,incongruent,447.4491822845108,pol,K
1,incongruent,377.6760433124685,pol,K
1,congruent,376.50817290923464,pol,K
1,congruent,474.77669779723004,pol,K
1,incongruent,547.0182417774539,pol,K
1,incongruent,269.20525522471337,pol,K
1,congruent,206.73559102618538,pol,K
1,incongruent,802.9245732403723,pol,K
