,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MID,u_warm,u_gn,u_sincere,u_friendly,u_wi,u_trustworthy,u_competent,u_confident,u_intel,u_capable,u_efficient,u_skillful,uval,t_warm,t_gn,t_sincere,t_friendly,t_wi,t_trustworthy,t_competent,t_confident,t_intel,t_capable,t_efficient,t_skillful,tval,Q29,age,gender
0,R_2mWfZJ9VaGH3fj7,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:55:55,2014-08-04 08:59:25,1.0,removed,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,,,1.0,25.0,2.0
1,R_50zAgUhb6Wufh7n,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:56:42,2014-08-04 08:59:44,1.0,removed,,,,,,,,,,,,,,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,19.0,1.0
2,R_1RkGNnicRpNWvhX,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:56:59,2014-08-04 09:03:47,1.0,removed,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,,,,,,,,,,,,,,1.0,32.0,2.0
3,R_dosxrkXUVIAqwDj,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:57:23,2014-08-04 09:02:27,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,31.0,1.0
4,R_2nkqcrfLSiFlcKV,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:57:34,2014-08-04 09:02:07,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,1.0,34.0,1.0
5,R_3ELEWVziknROj8p,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:57:37,2014-08-04 09:00:12,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,25.0,1.0
6,R_8DoQWPfaOjMecGF,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:57:56,2014-08-04 09:00:49,1.0,removed,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,1.0,29.0,1.0
7,R_73q5NQ1dIgPfrzn,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:58:48,2014-08-04 09:01:32,1.0,removed,,,,,,,,,,,,,,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,1.0,41.0,1.0
8,R_74flMXK6rQowP6R,Default Response Set,Anonymous,,,removed,0,2014-08-04 08:58:49,2014-08-04 09:01:03,1.0,removed,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,,,,,,,,,,,,1.0,24.0,1.0
9,R_dba1iUD8ZnsuEXr,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:00:07,2014-08-04 09:02:51,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,24.0,2.0
